	ec_aer_arcAfnr_O_a	ec_aer_arcAfnr_O_b	ec_aer_arcAfnr_O_c	ec_aer_arcAfnr_nO_a	ec_aer_arcAfnr_nO_b	ec_aer_arcAfnr_nO_c	ec_aer_appY_O_a	ec_aer_appY_O_b	ec_aer_appY_O_c	ec_aer_appY_nO_a	ec_aer_appY_nO_b	ec_aer_appY_nO_c	ec_aer_arcA_O_b	ec_aer_arcA_O_a	ec_aer_arcA_O_c	ec_aer_arcA_nO_a	ec_aer_arcA_nO_b	ec_aer_arcA_nO_c	ec_aer_fnr_O_a	ec_aer_fnr_O_b	ec_aer_fnr_O_c	ec_aer_fnr_nO_a	ec_aer_fnr_nO_b	ec_aer_fnr_nO_c	ec_aer_oxyR_O_a	ec_aer_oxyR_O_b	ec_aer_oxyR_O_c	ec_aer_oxyR_nO_a	ec_aer_oxyR_nO_b	ec_aer_oxyR_nO_c	ec_aer_soxS_O_a	ec_aer_soxS_O_b	ec_aer_soxS_O_c	ec_aer_soxS_nO_a	ec_aer_soxS_nO_b	ec_aer_soxS_nO_c	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c	ec_aer_wild_nO_a	ec_aer_wild_nO_b	ec_aer_wild_nO_c	ec_aer_wild_nO_d
thrL	11.4348158491843	11.5203829589108	11.7343878565798	11.6095250542167	11.1036746611201	11.3927520979828	11.075479149488	10.9353050387554	10.7856894920647	11.3309056770227	11.7893787710884	12.0162964300737	11.5413725406975	11.9942155255944	12.0282168887251	10.9393514797106	11.2516776760613	11.0340836266154	11.4400645629562	11.2830130900836	11.6813262711634	10.7847493406205	11.5354017527266	11.162441683726	11.4580887136353	10.6540004583524	11.6395803841568	11.5515304368161	11.6941489120329	11.8177671361454	11.8858831795771	11.203305174247	11.2026625906358	11.2184724216425	11.393224189327	11.4291137787673	11.1482032704464	11.4921235762931	11.946145991668	10.9293323911011	10.8007624168243	12.5216936721049	12.3016276548644
thrA	12.4317979168256	12.2208377885692	12.2237000759863	12.3227788086709	12.1540459340439	12.4213337697471	12.1656921523201	11.8980306958345	11.944821851009	12.3495411006462	12.2527156893939	12.5604976359877	12.0905557486413	11.9323144229524	11.9900897779958	12.1609523224277	12.1863371279948	12.2059673151392	12.0194065575539	12.1719336073524	11.9126798009877	12.1615255779085	12.20873732366	12.0733114736554	12.2386167091578	12.1973825812134	12.3212347584278	12.3909293420262	12.4402384993974	12.3132798686552	11.9550904460037	12.0659983462588	12.1995926018352	12.2668509452859	12.3653983750994	12.1820156272894	12.029628877442	12.3023076256071	12.5557921942865	12.2829088733761	12.4405058533325	12.5399269774125	12.3369137596397
thrB	11.8650256665013	11.6217634347102	11.668441828053	11.6311997966193	11.430238222352	11.7721289665657	11.6031626795344	11.3104594161612	11.1657172724852	11.8195883579523	11.6578543358157	11.993791100535	11.5081463533257	11.4305048222781	11.52873246447	11.623986625555	11.6274016465661	11.5316397577883	11.3518060845952	11.5180777330959	11.2372458185126	11.3889805547828	11.5768669362013	11.4091999785686	11.5867506720568	11.4823844620688	11.6466892038041	11.7416270897004	11.9054547002775	11.6823318799434	11.4196336916654	11.5190612223211	11.6872400689792	11.7255920607709	11.8727864443733	11.6435315468668	11.3838716613068	11.6360127953815	11.9007272099182	11.4311423713066	11.7535677678384	12.0530773870993	11.8356951621204
thrC	11.9794859315857	11.8052682685846	11.8926870030559	11.8552033113708	11.4262752393663	11.9026803546546	11.7651078748838	11.5637301517579	11.4247331754795	12.0135878760034	11.8006491856128	12.1405422253929	11.6452801481638	11.5685071974896	11.6160571409861	11.6914338385729	11.6147374464348	11.8213953244681	11.4371070320188	11.6135132360438	11.4382720561248	11.4582681816979	11.7148765587163	11.619504716837	11.9031475108283	11.739350268128	11.8266994221583	11.9481773908	12.0546043179607	11.8871368239884	11.5849390191655	11.7530746459136	11.8996099388706	11.8587736377628	12.1484543378101	11.8493347238634	11.5623473783759	11.7616052493927	11.978281447345	11.6982184782244	11.8599384981486	12.3035496016977	12.0108602441631
yaaX	8.44974293807859	8.36897346116349	8.41998123893563	8.2592630699374	7.97677031025482	8.42446445697908	8.50639089693682	7.90734136737937	8.05795382783265	8.71587964621443	8.75459024964766	8.91436719179468	8.51617277552509	8.50134758048187	8.51289055057882	8.60332590676901	8.78367927530673	8.47390864604629	8.45340645910412	8.37790459260214	8.22089581532454	8.30955365930558	8.41429623701305	8.43469910975581	8.1054476104071	7.86050350489628	8.31542131594578	8.78268703795552	8.72939642017127	8.80417943295631	8.30592949330493	8.56615681225729	8.50160235473653	8.61907915065099	8.72540716066014	8.57483190708534	8.44073630900057	8.67244655791904	8.80115542192795	8.35148699233648	8.53681835156771	8.81046881094046	8.90449011915364
yaaA	9.09947405713443	9.00323960604793	8.99514811463241	8.75087109077868	8.7513197711968	8.60168537536215	8.69444495128357	8.17861007983583	8.13892195452357	8.82684716415549	8.86777602851509	8.98831828658695	8.80632405739003	8.61345798401088	8.5809594848024	8.77185587411145	8.70853903631022	8.51010348184983	8.97588808210763	8.966242988755	8.77633103671561	8.62870070052256	8.87433898259376	8.69134921005616	8.73969623917521	8.87084861944965	9.0835138984117	8.87058973779929	8.87058357338424	8.61869750179798	8.41786938841343	8.7402023887679	8.68923974599926	8.52663616640502	8.70273718305607	8.51858234681716	8.75959195936704	8.69110140316988	9.10803563489398	8.12985482914517	8.6610334037207	8.77433573508532	8.75430295868392
yaaJ	8.60351507886732	8.38026190964243	8.58876709626629	8.58454541140055	8.64105464301553	8.17243750996292	8.52142769854772	8.34167892849266	8.44397539989598	8.16138386011199	8.04534467332815	7.85013056675265	8.64493780550018	8.30182996536555	8.47927907282259	8.72784219303972	8.88028451686495	8.81780230429575	8.56543343164148	8.29403712044227	8.52555995903987	8.06676193238691	8.53814236145412	8.49638644822537	8.78482784626958	8.67310056323181	8.58723745921989	8.35207874765937	8.48197294818667	7.89260352847118	8.49948317505887	8.71912866742076	8.59610028391015	8.2252652882163	8.10572521443632	7.9951452873736	8.34358548316139	8.39818360382411	8.5927186421825	7.81891445435022	8.69169118345632	8.15346083124613	8.34666442155191
talB	12.1842151960983	11.9586360848461	12.0815100681209	11.8402271715208	11.8547593201176	11.7605328423164	12.0468613940956	11.8644918335865	11.7689203747035	11.9038969051048	11.762581361043	11.9364171014318	12.0242531817632	11.8919393540233	11.9597955076189	11.9436210267797	12.0526054082429	11.9441227121155	11.9699548528167	11.8211760562699	11.8863596165724	11.7191192530915	11.9516016358836	11.6571531778349	12.2254032782404	12.1945106397206	12.1193269939209	11.9181253068008	12.0865243865116	11.9170811240455	11.9874914140576	12.1186750837414	12.0639208275985	11.9386129315343	11.9691562473982	11.7964574268068	11.9173459704886	12.1163147171227	12.3633873906747	11.7196626160828	12.1448971853406	12.1456201436081	11.9020698097222
mog	9.4353056348885	9.22615445963602	9.34492167987591	8.98405097338339	9.05202999639965	8.75027486658854	9.26976721512068	8.56496113493059	9.28599628343508	9.37533272055501	9.3930643393293	9.33308377296712	9.21933311386268	9.14402341932216	9.25120070845173	9.0508308808073	9.06336002472141	9.06158990944129	9.34647384242869	9.15318719526348	9.01224181778441	8.95111566200737	9.13836396585546	8.98607240833366	9.28333842936539	9.15851375779584	9.18283379941699	9.33019983285091	9.37768122776597	9.26435814731337	9.06497443946878	9.28410459713886	9.36267808961856	9.26174470262135	9.20379089987931	9.1881882475127	9.09988954127582	9.2186455697727	9.61700455316135	9.20196705388251	9.40951186285971	9.49348722487798	9.37573019520282
satP	8.90898999200955	8.39791844812631	8.90179912752004	9.06925372481503	8.85203318063859	8.80248082236437	9.21355142224849	8.4012165948354	8.95478373996731	9.22246890146821	9.10255578288001	9.07670071120484	8.62077333291292	8.93812697375706	9.14221940440024	8.96214988995103	9.09081374309183	9.13393079003535	9.00191480808022	8.72620793949642	8.8435002692885	8.79189544832522	8.96101841316822	8.80923435337254	8.71323871490245	8.67192667736697	8.59049722952895	9.38949797925044	9.19071361744271	9.22661930942938	8.91654829969667	9.33766649774964	9.08364153829987	9.22598100580135	9.1824340828414	9.12256919221645	8.81883458708959	8.65866136204444	9.17647986065103	8.93949987859749	9.27775001138866	9.35534008344353	9.31136233393996
